Extra,Giorno,Ora,Classe,Aula,Piano
,Lunedì,1°,4A_INF,6,TERRA
,Lunedì,2°,4A_INF,6,TERRA
,lunedì,3°,4A_INF,6,TERRA
,lunedì,4°,4A_INF,2,TERRA
,lunedì,5°,4A_INF,Lab. TLC,PLESSO LABORATORI
,lunedì,6°,4A_INF,Lab. TLC,PLESSO LABORATORI
,Martedì,1°,4A_INF,Lab. Inf2,PLESSO LABORATORI
,Martedì,2°,4A_INF,Lab. Inf2,PLESSO LABORATORI
,martedì,3°,4A_INF,Lab. Inf2,PLESSO LABORATORI
,martedì,4°,4A_INF,Lab. Inf2,PLESSO LABORATORI
,martedì,5°,4A_INF,35,PRIMO
,martedì,6°,4A_INF,35,PRIMO
,martedì,7°,4A_INF,35,PRIMO
,Mercoledì,1°,4A_INF,21,TERRA
,Mercoledì,2°,4A_INF,14,TERRA
,mercoledì,3°,4A_INF,14,TERRA
,mercoledì,4°,4A_INF,14,TERRA
,mercoledì,5°,4A_INF,14,TERRA
,mercoledì,6°,4A_INF,14,TERRA
,Giovedì,1°,4A_INF,11,TERRA
,Giovedì,2°,4A_INF,11,TERRA
,giovedì,3°,4A_INF,11,TERRA
,giovedì,4°,4A_INF,11,TERRA
,giovedì,5°,4A_INF,18,TERRA
,giovedì,6°,4A_INF,18,TERRA
,giovedì,7°,4A_INF,18,TERRA
,Venerdì,1°,4A_INF,Lab. Inf1,PLESSO LABORATORI
,Venerdì,2°,4A_INF,Lab. Inf1,PLESSO LABORATORI
,venerdì,3°,4A_INF,Lab. Inf1,PLESSO LABORATORI
,venerdì,4°,4A_INF,60,PRIMO
,venerdì,5°,4A_INF,60,PRIMO
,venerdì,6°,4A_INF,60,PRIMO
,Lunedì,1°,5A_INF,Lab. Inf2,PLESSO LABORATORI
,Lunedì,2°,5A_INF,Lab. Inf2,PLESSO LABORATORI
,lunedì,3°,5A_INF,Lab. Inf2,PLESSO LABORATORI
,lunedì,4°,5A_INF,4,TERRA
,lunedì,5°,5A_INF,4,TERRA
,lunedì,6°,5A_INF,4,TERRA
,Martedì,1°,5A_INF,28,PRIMO
,Martedì,2°,5A_INF,28,PRIMO
,martedì,3°,5A_INF,Lab. TInf2,PLESSO LABORATORI
,martedì,4°,5A_INF,29,PRIMO
,martedì,5°,5A_INF,29,PRIMO
,martedì,6°,5A_INF,29,PRIMO
,martedì,7°,5A_INF,29,PRIMO
,Mercoledì,1°,5A_INF,55,PRIMO
,Mercoledì,2°,5A_INF,55,PRIMO
,mercoledì,3°,5A_INF,54,PRIMO
,mercoledì,4°,5A_INF,54,PRIMO
,mercoledì,5°,5A_INF,Lab. TInf2,PLESSO LABORATORI
,mercoledì,6°,5A_INF,Lab. TInf2,PLESSO LABORATORI
,Giovedì,1°,5A_INF,37,PRIMO
,Giovedì,2°,5A_INF,38,PRIMO
,giovedì,3°,5A_INF,38,PRIMO
,giovedì,4°,5A_INF,38,PRIMO
,giovedì,5°,5A_INF,1,TERRA
,giovedì,6°,5A_INF,1,TERRA
,giovedì,7°,5A_INF,1,TERRA
,Venerdì,1°,5A_INF,36,PRIMO
,Venerdì,2°,5A_INF,36,PRIMO
,venerdì,3°,5A_INF,36,PRIMO
,venerdì,4°,5A_INF,Lab. TInf2,PLESSO LABORATORI
,venerdì,5°,5A_INF,Lab. TInf2,PLESSO LABORATORI
,venerdì,6°,5A_INF,Lab. TInf2,PLESSO LABORATORI
,Lunedì,1°,5B_INF,29,PRIMO
,Lunedì,2°,5B_INF,29,PRIMO
,lunedì,3°,5B_INF,28,PRIMO
,lunedì,4°,5B_INF,28,PRIMO
,lunedì,5°,5B_INF,26,PRIMO
,lunedì,6°,5B_INF,26,PRIMO
,Martedì,1°,5B_INF,2,TERRA
,Martedì,2°,5B_INF,2,TERRA
,martedì,3°,5B_INF,2,TERRA
,martedì,4°,5B_INF,3,TERRA
,martedì,5°,5B_INF,Lab. Inf2,PLESSO LABORATORI
,martedì,6°,5B_INF,Lab. Inf2,PLESSO LABORATORI
,martedì,7°,5B_INF,Lab. Inf2,PLESSO LABORATORI
,Mercoledì,1°,5B_INF,Lab. TInf2,PLESSO LABORATORI
,Mercoledì,2°,5B_INF,Lab. TInf2,PLESSO LABORATORI
,mercoledì,3°,5B_INF,44,PRIMO
,mercoledì,4°,5B_INF,44,PRIMO
,mercoledì,5°,5B_INF,26,PRIMO
,mercoledì,6°,5B_INF,26,PRIMO
,Giovedì,1°,5B_INF,54,PRIMO
,Giovedì,2°,5B_INF,Lab. TInf2,PLESSO LABORATORI
,giovedì,3°,5B_INF,54,PRIMO
,giovedì,4°,5B_INF,Lab. Inf1,PLESSO LABORATORI
,giovedì,5°,5B_INF,Lab. Inf1,PLESSO LABORATORI
,giovedì,6°,5B_INF,Lab. Inf1,PLESSO LABORATORI
,giovedì,7°,5B_INF,39,PRIMO
,Venerdì,1°,5B_INF,1,TERRA
,Venerdì,2°,5B_INF,1,TERRA
,venerdì,3°,5B_INF,20,TERRA
,venerdì,4°,5B_INF,20,TERRA
,venerdì,5°,5B_INF,1,TERRA
,venerdì,6°,5B_INF,1,TERRA
,Lunedì,1°,5C_TLC,27,PRIMO
,Lunedì,2°,5C_TLC,27,PRIMO
,lunedì,3°,5C_TLC,Lab. TLC,PLESSO LABORATORI
,lunedì,4°,5C_TLC,Lab. TLC,PLESSO LABORATORI
,lunedì,5°,5C_TLC,27,PRIMO
,lunedì,6°,5C_TLC,27,PRIMO
,Martedì,1°,5C_TLC,25,PRIMO
,Martedì,2°,5C_TLC,25,PRIMO
,martedì,3°,5C_TLC,47,PRIMO
,martedì,4°,5C_TLC,47,PRIMO
,martedì,5°,5C_TLC,Lab. SIS,PLESSO LABORATORI
,martedì,6°,5C_TLC,Lab. SIS,PLESSO LABORATORI
,martedì,7°,5C_TLC,Lab. SIS,PLESSO LABORATORI
,Mercoledì,1°,5C_TLC,48,PRIMO
,Mercoledì,2°,5C_TLC,48,PRIMO
,mercoledì,3°,5C_TLC,25,PRIMO
,mercoledì,4°,5C_TLC,Lab. TDP,PLESSO LABORATORI
,mercoledì,5°,5C_TLC,48,PRIMO
,mercoledì,6°,5C_TLC,48,PRIMO
,Giovedì,1°,5C_TLC,Lab. TLC,PLESSO LABORATORI
,Giovedì,2°,5C_TLC,Lab. TLC,PLESSO LABORATORI
,giovedì,3°,5C_TLC,27,PRIMO
,giovedì,4°,5C_TLC,6,TERRA
,giovedì,5°,5C_TLC,6,TERRA
,giovedì,6°,5C_TLC,6,TERRA
,giovedì,7°,5C_TLC,6,TERRA
,Venerdì,1°,5C_TLC,21,TERRA
,Venerdì,2°,5C_TLC,6,TERRA
,venerdì,3°,5C_TLC,6,TERRA
,venerdì,4°,5C_TLC,Lab. TDP,PLESSO LABORATORI
,venerdì,5°,5C_TLC,Lab. TDP,PLESSO LABORATORI
,venerdì,6°,5C_TLC,Lab. TDP,PLESSO LABORATORI
,Lunedì,1°,5A_EN,Lab. SIS,PLESSO LABORATORI
,Lunedì,2°,5A_EN,Lab. SIS,PLESSO LABORATORI
,lunedì,3°,5A_EN,Lab. SIS,PLESSO LABORATORI
,lunedì,4°,5A_EN,Lab. SIS,PLESSO LABORATORI
,lunedì,5°,5A_EN,Lab. SIS,PLESSO LABORATORI
,lunedì,6°,5A_EN,Lab. SIS,PLESSO LABORATORI
,Martedì,1°,5A_EN,Lab. TDP,PLESSO LABORATORI
,Martedì,2°,5A_EN,Lab. TDP,PLESSO LABORATORI
,martedì,3°,5A_EN,Lab. TDP,PLESSO LABORATORI
,martedì,4°,5A_EN,14,TERRA
,martedì,5°,5A_EN,14,TERRA
,martedì,6°,5A_EN,14,TERRA
,martedì,7°,5A_EN,14,TERRA
,Mercoledì,1°,5A_EN,Lab. SIS,PLESSO LABORATORI
,Mercoledì,2°,5A_EN,Lab. SIS,PLESSO LABORATORI
,mercoledì,3°,5A_EN,60,PRIMO
,mercoledì,4°,5A_EN,60,PRIMO
,mercoledì,5°,5A_EN,60,PRIMO
,mercoledì,6°,5A_EN,60,PRIMO
,Giovedì,1°,5A_EN,26,PRIMO
,Giovedì,2°,5A_EN,26,PRIMO
,giovedì,3°,5A_EN,22,TERRA
,giovedì,4°,5A_EN,22,TERRA
,giovedì,5°,5A_EN,22,TERRA
,giovedì,6°,5A_EN,17,TERRA
,giovedì,7°,5A_EN,17,TERRA
,Venerdì,1°,5A_EN,7,TERRA
,Venerdì,2°,5A_EN,7,TERRA
,venerdì,3°,5A_EN,7,TERRA
,venerdì,4°,5A_EN,38,PRIMO
,venerdì,5°,5A_EN,32,PRIMO
,venerdì,6°,5A_EN,32,PRIMO
,Lunedì,1°,5A_ET,Lab. TDP,PLESSO LABORATORI
,Lunedì,2°,5A_ET,Lab. TDP,PLESSO LABORATORI
,lunedì,3°,5A_ET,Lab. TDP,PLESSO LABORATORI
,lunedì,4°,5A_ET,36,PRIMO
,lunedì,5°,5A_ET,36,PRIMO
