Extra,Giorno,Ora,Classe,Aula,Piano
,Lunedì,1°,4A_INF,6,
,Lunedì,2°,4A_INF,6,
,lunedì,3°,4A_INF,6,
,lunedì,4°,4A_INF,2,
,lunedì,5°,4A_INF,Lab. TLC,
,lunedì,6°,4A_INF,Lab. TLC,
,Martedì,1°,4A_INF,Lab. Inf2,
,Martedì,2°,4A_INF,Lab. Inf2,
,martedì,3°,4A_INF,Lab. Inf2,
,martedì,4°,4A_INF,Lab. Inf2,
,martedì,5°,4A_INF,35,
,martedì,6°,4A_INF,35,
,martedì,7°,4A_INF,35,
,Mercoledì,1°,4A_INF,21,
,Mercoledì,2°,4A_INF,14,
,mercoledì,3°,4A_INF,14,
,mercoledì,4°,4A_INF,14,
,mercoledì,5°,4A_INF,14,
,mercoledì,6°,4A_INF,14,
,Giovedì,1°,4A_INF,11,
,Giovedì,2°,4A_INF,11,
,giovedì,3°,4A_INF,11,
,giovedì,4°,4A_INF,11,
,giovedì,5°,4A_INF,18,
,giovedì,6°,4A_INF,18,
,giovedì,7°,4A_INF,18,
,Venerdì,1°,4A_INF,Lab. Inf1,
,Venerdì,2°,4A_INF,Lab. Inf1,
,venerdì,3°,4A_INF,Lab. Inf1,
,venerdì,4°,4A_INF,60,
,venerdì,5°,4A_INF,60,
,venerdì,6°,4A_INF,60,
,Lunedì,1°,5A_INF,Lab. Inf2,
,Lunedì,2°,5A_INF,Lab. Inf2,
,lunedì,3°,5A_INF,Lab. Inf2,
,lunedì,4°,5A_INF,4,
,lunedì,5°,5A_INF,4,
,lunedì,6°,5A_INF,4,
,Martedì,1°,5A_INF,28,
,Martedì,2°,5A_INF,28,
,martedì,3°,5A_INF,Lab. TInf2,
,martedì,4°,5A_INF,29,
,martedì,5°,5A_INF,29,
,martedì,6°,5A_INF,29,
,martedì,7°,5A_INF,29,
,Mercoledì,1°,5A_INF,55,
,Mercoledì,2°,5A_INF,55,
,mercoledì,3°,5A_INF,54,
,mercoledì,4°,5A_INF,54,
,mercoledì,5°,5A_INF,Lab. TInf2,
,mercoledì,6°,5A_INF,Lab. TInf2,
,Giovedì,1°,5A_INF,37,
,Giovedì,2°,5A_INF,38,
,giovedì,3°,5A_INF,38,
,giovedì,4°,5A_INF,38,
,giovedì,5°,5A_INF,1,
,giovedì,6°,5A_INF,1,
,giovedì,7°,5A_INF,1,
,Venerdì,1°,5A_INF,36,
,Venerdì,2°,5A_INF,36,
,venerdì,3°,5A_INF,36,
,venerdì,4°,5A_INF,Lab. TInf2,
,venerdì,5°,5A_INF,Lab. TInf2,
,venerdì,6°,5A_INF,Lab. TInf2,
,Lunedì,1°,5B_INF,21,
,Lunedì,2°,5B_INF,21,
,lunedì,3°,5B_INF,11,
,lunedì,4°,5B_INF,11,
,lunedì,5°,5B_INF,23,
,lunedì,6°,5B_INF,23,
,Martedì,1°,5B_INF,2,
,Martedì,2°,5B_INF,2,
,martedì,3°,5B_INF,2,
,martedì,4°,5B_INF,3,
,martedì,5°,5B_INF,Lab. Inf2,
,martedì,6°,5B_INF,Lab. Inf2,
,martedì,7°,5B_INF,Lab. Inf2,
,Mercoledì,1°,5B_INF,Lab. TInf2,
,Mercoledì,2°,5B_INF,Lab. TInf2,
,mercoledì,3°,5B_INF,60,
,mercoledì,4°,5B_INF,60,
,mercoledì,5°,5B_INF,60,
,mercoledì,6°,5B_INF,60,
,Giovedì,1°,5B_INF,54,
,Giovedì,2°,5B_INF,Lab. TInf2,
,giovedì,3°,5B_INF,54,
,giovedì,4°,5B_INF,Lab. Inf1,
,giovedì,5°,5B_INF,Lab. Inf1,
,giovedì,6°,5B_INF,Lab. Inf1,
,giovedì,7°,5B_INF,4,
